segment_id,sentiment
03bSnISJMiM,2.4
0h-zjBukYpk,-0.4
1DmNV9C1hbY,-2.0
1iG0909rllw,-0.4
2WGyTLYerpo,2.0
2iD-tVS8NPw,-0.5
5W7Z1C_fDaE,2.0
6Egk_28TtTM,3.0
6_0THN4chvY,1.6
73jzhE8R1TQ,1.0
7JsX8y1ysxY,1.8
8OtFthrtaJM,0.4
8d-gEyoeBzc,1.2
8qrpnFRGt2A,-1.4
9J25DZhivz8,2.2
9T9Hf74oK10,-0.5
9c67fiY0wGQ,-0.2
9qR7uwkblbs,-0.8
Af8D0E4ZXaw,-0.75
BI97DNYfe5I,2.0
BXuRRbG0Ugk,-1.0
Bfr499ggo-0,-1.75
BioHAh1qJAQ,1.4
BvYR0L6f2Ig,1.6
Ci-AH39fi3Y,1.8
Clx4VXItLTE,-1.0
Dg_0XKD0Mf4,-1.0
G-xst2euQUc,2.0
G6GlGvlkxAQ,2.6
GWuJjcEuzt8,1.5
HEsqda8_d0Q,2.8
I5y0__X72p0,0.6
Iu2PFX3z_1s,2.4
IumbAb8q2dM,0.5
Jkswaaud0hk,2.4
LSi-o-IrDMs,1.0
MLal-t_vJPM,-1.2
Njd1F0vZSm4,1.2
Nzq88NnDkEk,-0.4
OQvJTdtJ2H4,-1.0
OtBXNcAL_lE,0.2
Oz06ZWiO20M,1.4
POKffnXeBds,0.0
PZ-lDQFboO8,-1.4
QN9ZIUWUXsY,0.4
Qr1Ca94K55A,3.0
Sqr0AcuoNnk,-0.75
TvyZBvOMOTc,-0.2
VCslbP0mgZI,-2.5
VbQk4H8hgr0,-2.2
Vj1wYRQjB-o,1.4
W8NXH0Djyww,2.8
WKA5OygbEKI,1.8
X3j2zQgwYgE,0.8
ZAIRrfG22O0,-2.0
ZUXBRvtny7o,2.25
_dI--eQ6qVU,2.4
aiEXnCPZubE,-2.2
atnd_PF-Lbs,-3.0
bOL9jKpeJRs,3.0
bvLlb-M3UXU,-0.2
c5xsKMxpXnc,-0.75
c7UH_rxdZv4,-2.8
cM3Yna7AavY,2.2
cW1FSBF59ik,-2.6
cXypl4FnoZo,1.0
d3_k5Xpfmik,2.0
d6hH302o4v8,-2.8
dq3Nf_lMPnE,0.0
etzxEpPuc6I,0.4
f9O3YtZ2VfI,-1.2
f_pcplsH_V0,0.25
fvVhgmXxadc,-0.4
iiK8YX8oH1E,-2.6
jUzDDGyPkXU,2.8
k5Y_838nuGo,-1.6
lXPQBPVc5Cw,0.2
nbWiPyCm4g0,1.2
nzpVDcQ0ywM,0.0
ob23OKe5a9Q,1.2
pLTX3ipuDJI,-2.4
phBUpBr1hSo,1.4
rnaNMUZpvvg,-2.6
tIrG4oNLFzE,2.8
tStelxIAHjw,0.0
tmZoasNr4rU,0.0
v0zCBqDeKcE,2.6
vvZ4IcEtiZc,2.0
vyB00TXsimI,0.0
wMbj6ajWbic,0.5
yDtzw_Y-7RU,0.8
yvsjCA6Y5Fc,-2.0
zhpQhgha_KU,-1.6
